invoice_number,sale_date,sale_type,salesperson,customer,product,material_type,quantity,price
INV-00888,2024-08-27,cash,Patrick Bala,"Chandran, Banerjee and Rau Distributors",Cotton Fabric,cotton,25,120
INV-00888,2024-08-27,cash,Patrick Bala,"Chandran, Banerjee and Rau Distributors",Wool Fabric,wool,12,200
INV-00889,2026-11-23,credit,Irya Naik,"Krish, Chakraborty and Ghose Distributors",Wool Fabric,wool,23,200
INV-00889,2026-11-23,credit,Irya Naik,"Krish, Chakraborty and Ghose Distributors",Polyester Sheet,polyester,9,150
INV-00890,2024-05-17,credit,Faris Dugar,"Jaggi, Shroff and Vig Retailers",Silk Fabric,silk,12,350
INV-00890,2024-05-17,credit,Faris Dugar,"Jaggi, Shroff and Vig Retailers",Nylon Fabric,nylon,14,180
INV-00890,2024-05-17,credit,Faris Dugar,"Jaggi, Shroff and Vig Retailers",Yarn Roll,yarn,11,90
INV-00891,2026-06-30,cash,Faris Dugar,Karnik-Mukhopadhyay Textiles,Nylon Fabric,nylon,25,180
INV-00891,2026-06-30,cash,Faris Dugar,Karnik-Mukhopadhyay Textiles,Silk Fabric,silk,5,350
INV-00891,2026-06-30,cash,Faris Dugar,Karnik-Mukhopadhyay Textiles,Silk Fabric,silk,11,350
INV-00892,2024-12-28,cash,Ethan Das,"Badami, Rajan and Brar Enterprises",Silk Fabric,silk,14,350
INV-00892,2024-12-28,cash,Ethan Das,"Badami, Rajan and Brar Enterprises",Wool Fabric,wool,18,200
INV-00892,2024-12-28,cash,Ethan Das,"Badami, Rajan and Brar Enterprises",Nylon Fabric,nylon,16,180
INV-00892,2024-12-28,cash,Ethan Das,"Badami, Rajan and Brar Enterprises",Nylon Fabric,nylon,22,180
INV-00893,2025-08-05,cash,Irya Naik,Baral Inc Textiles,Polyester Sheet,polyester,18,150
INV-00893,2025-08-05,cash,Irya Naik,Baral Inc Textiles,Cotton Fabric,cotton,15,120
INV-00894,2024-10-10,credit,Geetika Vig,"Contractor, Khatri and Verma Distributors",Wool Fabric,wool,24,200
INV-00894,2024-10-10,credit,Geetika Vig,"Contractor, Khatri and Verma Distributors",Silk Fabric,silk,17,350
INV-00894,2024-10-10,credit,Geetika Vig,"Contractor, Khatri and Verma Distributors",Wool Fabric,wool,9,200
INV-00895,2025-05-25,cash,Varenya Padmanabhan,"Ramaswamy, Dayal and Mital Stores",Nylon Fabric,nylon,13,180
INV-00895,2025-05-25,cash,Varenya Padmanabhan,"Ramaswamy, Dayal and Mital Stores",Wool Fabric,wool,20,200
INV-00895,2025-05-25,cash,Varenya Padmanabhan,"Ramaswamy, Dayal and Mital Stores",Yarn Roll,yarn,19,90
INV-00896,2024-10-12,cash,Bakhshi Kala,Edwin Inc Traders,Yarn Roll,yarn,15,90
INV-00896,2024-10-12,cash,Bakhshi Kala,Edwin Inc Traders,Nylon Fabric,nylon,9,180
INV-00896,2024-10-12,cash,Bakhshi Kala,Edwin Inc Traders,Wool Fabric,wool,23,200
INV-00897,2025-07-29,credit,Ishaan Krish,"Borra, Mitra and Memon Retailers",Nylon Fabric,nylon,3,180
INV-00897,2025-07-29,credit,Ishaan Krish,"Borra, Mitra and Memon Retailers",Silk Fabric,silk,13,350
INV-00897,2025-07-29,credit,Ishaan Krish,"Borra, Mitra and Memon Retailers",Silk Fabric,silk,17,350
INV-00898,2026-09-24,credit,Ethan Das,Ramaswamy PLC Mart,Polyester Sheet,polyester,15,150
INV-00898,2026-09-24,credit,Ethan Das,Ramaswamy PLC Mart,Yarn Roll,yarn,25,90
INV-00898,2026-09-24,credit,Ethan Das,Ramaswamy PLC Mart,Yarn Roll,yarn,17,90
INV-00899,2025-12-07,credit,Keya Rajagopal,Loyal-Chatterjee Mart,Polyester Sheet,polyester,2,150
INV-00899,2025-12-07,credit,Keya Rajagopal,Loyal-Chatterjee Mart,Polyester Sheet,polyester,21,150
INV-00899,2025-12-07,credit,Keya Rajagopal,Loyal-Chatterjee Mart,Nylon Fabric,nylon,18,180
INV-00899,2025-12-07,credit,Keya Rajagopal,Loyal-Chatterjee Mart,Nylon Fabric,nylon,18,180
INV-00900,2024-03-07,cash,Geetika Vig,Naidu-Raman Mart,Cotton Fabric,cotton,18,120
INV-00900,2024-03-07,cash,Geetika Vig,Naidu-Raman Mart,Silk Fabric,silk,21,350
INV-00901,2024-11-23,cash,Nikita Rajan,Narula and Sons Traders,Silk Fabric,silk,17,350
INV-00901,2024-11-23,cash,Nikita Rajan,Narula and Sons Traders,Yarn Roll,yarn,18,90
INV-00901,2024-11-23,cash,Nikita Rajan,Narula and Sons Traders,Nylon Fabric,nylon,5,180
INV-00901,2024-11-23,cash,Nikita Rajan,Narula and Sons Traders,Yarn Roll,yarn,16,90
INV-00902,2026-04-16,cash,Vasana Bera,Master-Narula Distributors,Silk Fabric,silk,24,350
INV-00902,2026-04-16,cash,Vasana Bera,Master-Narula Distributors,Polyester Sheet,polyester,6,150
INV-00902,2026-04-16,cash,Vasana Bera,Master-Narula Distributors,Polyester Sheet,polyester,21,150
INV-00902,2026-04-16,cash,Vasana Bera,Master-Narula Distributors,Cotton Fabric,cotton,16,120
INV-00903,2025-01-04,cash,Hema Talwar,"Sridhar, Soman and Sarkar Textiles",Silk Fabric,silk,8,350
INV-00903,2025-01-04,cash,Hema Talwar,"Sridhar, Soman and Sarkar Textiles",Cotton Fabric,cotton,4,120
INV-00903,2025-01-04,cash,Hema Talwar,"Sridhar, Soman and Sarkar Textiles",Wool Fabric,wool,7,200
INV-00904,2026-02-08,cash,Kashvi Vohra,Jani-Ahuja Textiles,Wool Fabric,wool,22,200
INV-00904,2026-02-08,cash,Kashvi Vohra,Jani-Ahuja Textiles,Nylon Fabric,nylon,19,180
INV-00904,2026-02-08,cash,Kashvi Vohra,Jani-Ahuja Textiles,Wool Fabric,wool,4,200
INV-00904,2026-02-08,cash,Kashvi Vohra,Jani-Ahuja Textiles,Cotton Fabric,cotton,4,120
INV-00905,2025-10-05,cash,Ishaan Krish,"Patla, Wali and Mane Mart",Wool Fabric,wool,13,200
INV-00905,2025-10-05,cash,Ishaan Krish,"Patla, Wali and Mane Mart",Wool Fabric,wool,18,200
INV-00906,2026-04-09,cash,Inaya Banik,"Sodhi, Bhargava and Din Textiles",Wool Fabric,wool,14,200
INV-00906,2026-04-09,cash,Inaya Banik,"Sodhi, Bhargava and Din Textiles",Nylon Fabric,nylon,11,180
INV-00907,2024-09-12,cash,Yashodhara Sahni,"Ray, Bala and Grewal Fabrics",Silk Fabric,silk,7,350
INV-00907,2024-09-12,cash,Yashodhara Sahni,"Ray, Bala and Grewal Fabrics",Cotton Fabric,cotton,16,120
INV-00907,2024-09-12,cash,Yashodhara Sahni,"Ray, Bala and Grewal Fabrics",Polyester Sheet,polyester,1,150
INV-00908,2025-09-21,cash,Geetika Vig,Pradhan LLC Mart,Silk Fabric,silk,5,350
INV-00908,2025-09-21,cash,Geetika Vig,Pradhan LLC Mart,Silk Fabric,silk,9,350
INV-00908,2025-09-21,cash,Geetika Vig,Pradhan LLC Mart,Silk Fabric,silk,5,350
INV-00909,2024-03-15,cash,Faris Dugar,"Rao, Swamy and Raj Traders",Silk Fabric,silk,13,350
INV-00909,2024-03-15,cash,Faris Dugar,"Rao, Swamy and Raj Traders",Wool Fabric,wool,25,200
INV-00909,2024-03-15,cash,Faris Dugar,"Rao, Swamy and Raj Traders",Wool Fabric,wool,12,200
INV-00910,2025-12-19,credit,Gopal Vaidya,"Aggarwal, Anand and Pai Traders",Polyester Sheet,polyester,13,150
INV-00910,2025-12-19,credit,Gopal Vaidya,"Aggarwal, Anand and Pai Traders",Nylon Fabric,nylon,11,180
INV-00911,2025-04-15,cash,Varenya Padmanabhan,"Raval, Manda and Uppal Retailers",Cotton Fabric,cotton,18,120
INV-00911,2025-04-15,cash,Varenya Padmanabhan,"Raval, Manda and Uppal Retailers",Nylon Fabric,nylon,3,180
INV-00911,2025-04-15,cash,Varenya Padmanabhan,"Raval, Manda and Uppal Retailers",Nylon Fabric,nylon,24,180
INV-00911,2025-04-15,cash,Varenya Padmanabhan,"Raval, Manda and Uppal Retailers",Cotton Fabric,cotton,16,120
INV-00912,2026-08-08,cash,Lakshit Nath,Varma-Seth Mart,Cotton Fabric,cotton,11,120
INV-00912,2026-08-08,cash,Lakshit Nath,Varma-Seth Mart,Wool Fabric,wool,10,200
INV-00912,2026-08-08,cash,Lakshit Nath,Varma-Seth Mart,Nylon Fabric,nylon,13,180
INV-00913,2024-05-07,credit,Faris Dugar,"Palan, Gola and Kar Enterprises",Silk Fabric,silk,18,350
INV-00913,2024-05-07,credit,Faris Dugar,"Palan, Gola and Kar Enterprises",Polyester Sheet,polyester,11,150
INV-00913,2024-05-07,credit,Faris Dugar,"Palan, Gola and Kar Enterprises",Yarn Roll,yarn,19,90
INV-00913,2024-05-07,credit,Faris Dugar,"Palan, Gola and Kar Enterprises",Polyester Sheet,polyester,6,150
INV-00914,2026-12-17,cash,Faris Dugar,"Bobal, Raj and Ram Distributors",Nylon Fabric,nylon,10,180
INV-00914,2026-12-17,cash,Faris Dugar,"Bobal, Raj and Ram Distributors",Nylon Fabric,nylon,2,180
INV-00914,2026-12-17,cash,Faris Dugar,"Bobal, Raj and Ram Distributors",Polyester Sheet,polyester,9,150
INV-00914,2026-12-17,cash,Faris Dugar,"Bobal, Raj and Ram Distributors",Polyester Sheet,polyester,7,150
INV-00915,2024-02-04,credit,Rehaan Chada,Nagarajan LLC Enterprises,Nylon Fabric,nylon,16,180
INV-00915,2024-02-04,credit,Rehaan Chada,Nagarajan LLC Enterprises,Nylon Fabric,nylon,19,180
INV-00915,2024-02-04,credit,Rehaan Chada,Nagarajan LLC Enterprises,Silk Fabric,silk,16,350
INV-00916,2026-05-01,credit,Ishwar Patla,"Bhasin, Aggarwal and Iyer Traders",Wool Fabric,wool,7,200
INV-00916,2026-05-01,credit,Ishwar Patla,"Bhasin, Aggarwal and Iyer Traders",Nylon Fabric,nylon,14,180
INV-00916,2026-05-01,credit,Ishwar Patla,"Bhasin, Aggarwal and Iyer Traders",Silk Fabric,silk,21,350
INV-00917,2025-06-26,credit,Hema Talwar,"Yohannan, Palla and Bora Stores",Nylon Fabric,nylon,4,180
INV-00917,2025-06-26,credit,Hema Talwar,"Yohannan, Palla and Bora Stores",Yarn Roll,yarn,8,90
INV-00917,2025-06-26,credit,Hema Talwar,"Yohannan, Palla and Bora Stores",Silk Fabric,silk,21,350
INV-00918,2026-09-27,credit,Faris Dugar,Borah Group Enterprises,Cotton Fabric,cotton,19,120
INV-00918,2026-09-27,credit,Faris Dugar,Borah Group Enterprises,Polyester Sheet,polyester,19,150
INV-00918,2026-09-27,credit,Faris Dugar,Borah Group Enterprises,Wool Fabric,wool,2,200
INV-00919,2024-06-25,cash,Lakshit Nath,"Sama, Ranganathan and Chopra Fabrics",Nylon Fabric,nylon,24,180
INV-00919,2024-06-25,cash,Lakshit Nath,"Sama, Ranganathan and Chopra Fabrics",Polyester Sheet,polyester,18,150
INV-00919,2024-06-25,cash,Lakshit Nath,"Sama, Ranganathan and Chopra Fabrics",Silk Fabric,silk,16,350
INV-00919,2024-06-25,cash,Lakshit Nath,"Sama, Ranganathan and Chopra Fabrics",Nylon Fabric,nylon,1,180
INV-00920,2026-10-16,cash,Varenya Padmanabhan,Soman and Sons Distributors,Nylon Fabric,nylon,10,180
INV-00920,2026-10-16,cash,Varenya Padmanabhan,Soman and Sons Distributors,Nylon Fabric,nylon,6,180
INV-00920,2026-10-16,cash,Varenya Padmanabhan,Soman and Sons Distributors,Wool Fabric,wool,19,200
INV-00921,2025-05-17,cash,Christopher Sridhar,Kara-Upadhyay Distributors,Yarn Roll,yarn,25,90
INV-00921,2025-05-17,cash,Christopher Sridhar,Kara-Upadhyay Distributors,Cotton Fabric,cotton,6,120
INV-00922,2025-08-24,cash,Lakshit Nath,Sarraf Group Retailers,Cotton Fabric,cotton,25,120
INV-00922,2025-08-24,cash,Lakshit Nath,Sarraf Group Retailers,Cotton Fabric,cotton,8,120
INV-00922,2025-08-24,cash,Lakshit Nath,Sarraf Group Retailers,Nylon Fabric,nylon,18,180
INV-00922,2025-08-24,cash,Lakshit Nath,Sarraf Group Retailers,Yarn Roll,yarn,3,90
INV-00923,2025-07-17,credit,Forum Dhaliwal,"Chaudhary, Palla and Wali Distributors",Yarn Roll,yarn,11,90
INV-00923,2025-07-17,credit,Forum Dhaliwal,"Chaudhary, Palla and Wali Distributors",Wool Fabric,wool,14,200
INV-00923,2025-07-17,credit,Forum Dhaliwal,"Chaudhary, Palla and Wali Distributors",Silk Fabric,silk,13,350
INV-00924,2025-01-21,credit,Manya Soni,Gupta-Ahuja Enterprises,Wool Fabric,wool,21,200
INV-00924,2025-01-21,credit,Manya Soni,Gupta-Ahuja Enterprises,Cotton Fabric,cotton,16,120
INV-00925,2024-04-16,credit,Samarth Ratta,"Badami, Subramanian and Warrior Distributors",Polyester Sheet,polyester,5,150
INV-00925,2024-04-16,credit,Samarth Ratta,"Badami, Subramanian and Warrior Distributors",Cotton Fabric,cotton,10,120
INV-00926,2024-12-10,cash,Gopal Vaidya,Chatterjee-Mohanty Textiles,Wool Fabric,wool,15,200
INV-00926,2024-12-10,cash,Gopal Vaidya,Chatterjee-Mohanty Textiles,Wool Fabric,wool,24,200
INV-00926,2024-12-10,cash,Gopal Vaidya,Chatterjee-Mohanty Textiles,Cotton Fabric,cotton,16,120
INV-00926,2024-12-10,cash,Gopal Vaidya,Chatterjee-Mohanty Textiles,Yarn Roll,yarn,1,90
INV-00927,2026-02-09,credit,Raksha Kapadia,Yohannan-Pant Retailers,Polyester Sheet,polyester,13,150
INV-00927,2026-02-09,credit,Raksha Kapadia,Yohannan-Pant Retailers,Polyester Sheet,polyester,20,150
INV-00927,2026-02-09,credit,Raksha Kapadia,Yohannan-Pant Retailers,Nylon Fabric,nylon,6,180
INV-00927,2026-02-09,credit,Raksha Kapadia,Yohannan-Pant Retailers,Silk Fabric,silk,17,350
INV-00928,2026-06-11,credit,Madhavi Bhargava,"Bali, Lanka and Handa Mart",Yarn Roll,yarn,10,90
INV-00928,2026-06-11,credit,Madhavi Bhargava,"Bali, Lanka and Handa Mart",Yarn Roll,yarn,21,90
INV-00928,2026-06-11,credit,Madhavi Bhargava,"Bali, Lanka and Handa Mart",Silk Fabric,silk,24,350
INV-00929,2024-09-17,credit,Yashodhara Sahni,Lad LLC Fabrics,Cotton Fabric,cotton,19,120
INV-00929,2024-09-17,credit,Yashodhara Sahni,Lad LLC Fabrics,Cotton Fabric,cotton,16,120
INV-00929,2024-09-17,credit,Yashodhara Sahni,Lad LLC Fabrics,Nylon Fabric,nylon,23,180
INV-00930,2026-12-19,cash,Yashodhara Sahni,Gulati-Banerjee Traders,Wool Fabric,wool,9,200
INV-00930,2026-12-19,cash,Yashodhara Sahni,Gulati-Banerjee Traders,Polyester Sheet,polyester,20,150
INV-00930,2026-12-19,cash,Yashodhara Sahni,Gulati-Banerjee Traders,Wool Fabric,wool,1,200
INV-00930,2026-12-19,cash,Yashodhara Sahni,Gulati-Banerjee Traders,Polyester Sheet,polyester,21,150
INV-00931,2024-01-18,cash,Urmi Gandhi,Sane-Dugal Fabrics,Yarn Roll,yarn,25,90
INV-00931,2024-01-18,cash,Urmi Gandhi,Sane-Dugal Fabrics,Polyester Sheet,polyester,22,150
INV-00932,2025-06-27,cash,Rehaan Chada,"Chandran, Rajan and Ganguly Traders",Wool Fabric,wool,24,200
INV-00932,2025-06-27,cash,Rehaan Chada,"Chandran, Rajan and Ganguly Traders",Nylon Fabric,nylon,12,180
INV-00932,2025-06-27,cash,Rehaan Chada,"Chandran, Rajan and Ganguly Traders",Polyester Sheet,polyester,17,150
INV-00932,2025-06-27,cash,Rehaan Chada,"Chandran, Rajan and Ganguly Traders",Cotton Fabric,cotton,15,120
INV-00933,2024-07-25,credit,Varenya Padmanabhan,Dhar and Sons Fabrics,Cotton Fabric,cotton,21,120
INV-00933,2024-07-25,credit,Varenya Padmanabhan,Dhar and Sons Fabrics,Cotton Fabric,cotton,11,120
INV-00933,2024-07-25,credit,Varenya Padmanabhan,Dhar and Sons Fabrics,Cotton Fabric,cotton,10,120
INV-00933,2024-07-25,credit,Varenya Padmanabhan,Dhar and Sons Fabrics,Silk Fabric,silk,3,350
INV-00934,2026-04-03,credit,Bakhshi Kala,"Sama, Ranganathan and Chopra Fabrics",Yarn Roll,yarn,12,90
INV-00934,2026-04-03,credit,Bakhshi Kala,"Sama, Ranganathan and Chopra Fabrics",Silk Fabric,silk,25,350
INV-00934,2026-04-03,credit,Bakhshi Kala,"Sama, Ranganathan and Chopra Fabrics",Cotton Fabric,cotton,20,120
INV-00934,2026-04-03,credit,Bakhshi Kala,"Sama, Ranganathan and Chopra Fabrics",Silk Fabric,silk,19,350
INV-00935,2024-05-10,credit,Hitesh Kala,"Jha, Dhawan and Dara Distributors",Silk Fabric,silk,1,350
INV-00935,2024-05-10,credit,Hitesh Kala,"Jha, Dhawan and Dara Distributors",Nylon Fabric,nylon,4,180
INV-00935,2024-05-10,credit,Hitesh Kala,"Jha, Dhawan and Dara Distributors",Polyester Sheet,polyester,17,150
INV-00936,2025-12-24,credit,Lakshit Nath,Solanki LLC Textiles,Nylon Fabric,nylon,21,180
INV-00936,2025-12-24,credit,Lakshit Nath,Solanki LLC Textiles,Nylon Fabric,nylon,25,180
INV-00936,2025-12-24,credit,Lakshit Nath,Solanki LLC Textiles,Silk Fabric,silk,6,350
INV-00937,2026-11-28,cash,Raksha Kapadia,"Sridhar, Soman and Sarkar Textiles",Polyester Sheet,polyester,10,150
INV-00937,2026-11-28,cash,Raksha Kapadia,"Sridhar, Soman and Sarkar Textiles",Polyester Sheet,polyester,9,150
INV-00937,2026-11-28,cash,Raksha Kapadia,"Sridhar, Soman and Sarkar Textiles",Wool Fabric,wool,2,200
INV-00937,2026-11-28,cash,Raksha Kapadia,"Sridhar, Soman and Sarkar Textiles",Polyester Sheet,polyester,3,150
INV-00938,2025-12-13,credit,Nikita Rajan,Chaudry Ltd Fabrics,Silk Fabric,silk,3,350
INV-00938,2025-12-13,credit,Nikita Rajan,Chaudry Ltd Fabrics,Wool Fabric,wool,20,200
INV-00939,2025-08-12,credit,Faras Parmer,Kala Inc Traders,Nylon Fabric,nylon,19,180
INV-00939,2025-08-12,credit,Faras Parmer,Kala Inc Traders,Cotton Fabric,cotton,18,120
INV-00939,2025-08-12,credit,Faras Parmer,Kala Inc Traders,Nylon Fabric,nylon,24,180
INV-00939,2025-08-12,credit,Faras Parmer,Kala Inc Traders,Polyester Sheet,polyester,24,150
INV-00940,2024-10-23,cash,Kashvi Vohra,Mani PLC Enterprises,Wool Fabric,wool,20,200
INV-00940,2024-10-23,cash,Kashvi Vohra,Mani PLC Enterprises,Yarn Roll,yarn,21,90
INV-00940,2024-10-23,cash,Kashvi Vohra,Mani PLC Enterprises,Wool Fabric,wool,2,200
INV-00940,2024-10-23,cash,Kashvi Vohra,Mani PLC Enterprises,Nylon Fabric,nylon,15,180
INV-00941,2025-03-10,credit,Bakhshi Kala,Anand-Banik Distributors,Nylon Fabric,nylon,5,180
INV-00941,2025-03-10,credit,Bakhshi Kala,Anand-Banik Distributors,Cotton Fabric,cotton,21,120
INV-00942,2026-12-14,credit,Ronith Mahal,Yohannan Inc Enterprises,Wool Fabric,wool,18,200
INV-00942,2026-12-14,credit,Ronith Mahal,Yohannan Inc Enterprises,Nylon Fabric,nylon,13,180
INV-00942,2026-12-14,credit,Ronith Mahal,Yohannan Inc Enterprises,Yarn Roll,yarn,11,90
INV-00942,2026-12-14,credit,Ronith Mahal,Yohannan Inc Enterprises,Yarn Roll,yarn,20,90
INV-00943,2024-01-14,credit,Christopher Sridhar,Mishra Group Traders,Yarn Roll,yarn,2,90
INV-00943,2024-01-14,credit,Christopher Sridhar,Mishra Group Traders,Nylon Fabric,nylon,8,180
INV-00943,2024-01-14,credit,Christopher Sridhar,Mishra Group Traders,Nylon Fabric,nylon,22,180
INV-00944,2026-05-02,credit,Hema Talwar,Bahri LLC Traders,Wool Fabric,wool,22,200
INV-00944,2026-05-02,credit,Hema Talwar,Bahri LLC Traders,Cotton Fabric,cotton,14,120
INV-00945,2025-11-08,credit,Varenya Padmanabhan,Venkatesh-Comar Textiles,Yarn Roll,yarn,14,90
INV-00945,2025-11-08,credit,Varenya Padmanabhan,Venkatesh-Comar Textiles,Cotton Fabric,cotton,24,120
INV-00945,2025-11-08,credit,Varenya Padmanabhan,Venkatesh-Comar Textiles,Wool Fabric,wool,20,200
INV-00946,2025-03-25,credit,Rehaan Chada,"Sharaf, Manne and Datta Retailers",Wool Fabric,wool,19,200
INV-00946,2025-03-25,credit,Rehaan Chada,"Sharaf, Manne and Datta Retailers",Polyester Sheet,polyester,20,150
INV-00946,2025-03-25,credit,Rehaan Chada,"Sharaf, Manne and Datta Retailers",Yarn Roll,yarn,5,90
INV-00946,2025-03-25,credit,Rehaan Chada,"Sharaf, Manne and Datta Retailers",Nylon Fabric,nylon,15,180
INV-00947,2026-05-08,cash,Urmi Gandhi,"Handa, Narayan and Lala Fabrics",Silk Fabric,silk,21,350
INV-00947,2026-05-08,cash,Urmi Gandhi,"Handa, Narayan and Lala Fabrics",Wool Fabric,wool,24,200
INV-00947,2026-05-08,cash,Urmi Gandhi,"Handa, Narayan and Lala Fabrics",Yarn Roll,yarn,21,90
INV-00947,2026-05-08,cash,Urmi Gandhi,"Handa, Narayan and Lala Fabrics",Nylon Fabric,nylon,14,180
INV-00948,2026-09-06,cash,Nikita Rajan,"Nadkarni, Wagle and Srinivas Retailers",Cotton Fabric,cotton,25,120
INV-00948,2026-09-06,cash,Nikita Rajan,"Nadkarni, Wagle and Srinivas Retailers",Yarn Roll,yarn,8,90
INV-00949,2025-02-02,credit,Hitesh Kala,"Tata, Arya and Sha Stores",Wool Fabric,wool,1,200
INV-00949,2025-02-02,credit,Hitesh Kala,"Tata, Arya and Sha Stores",Yarn Roll,yarn,24,90
INV-00950,2024-08-15,cash,Irya Naik,"Sastry, Tara and Chhabra Traders",Polyester Sheet,polyester,7,150
INV-00950,2024-08-15,cash,Irya Naik,"Sastry, Tara and Chhabra Traders",Wool Fabric,wool,15,200
INV-00950,2024-08-15,cash,Irya Naik,"Sastry, Tara and Chhabra Traders",Yarn Roll,yarn,16,90
INV-00950,2024-08-15,cash,Irya Naik,"Sastry, Tara and Chhabra Traders",Wool Fabric,wool,25,200
INV-00951,2026-07-31,credit,Yashodhara Sahni,"Tailor, Dada and Doctor Stores",Yarn Roll,yarn,23,90
INV-00951,2026-07-31,credit,Yashodhara Sahni,"Tailor, Dada and Doctor Stores",Silk Fabric,silk,16,350
INV-00952,2024-05-25,cash,Gopal Vaidya,Khatri-Master Traders,Nylon Fabric,nylon,7,180
INV-00952,2024-05-25,cash,Gopal Vaidya,Khatri-Master Traders,Nylon Fabric,nylon,11,180
INV-00952,2024-05-25,cash,Gopal Vaidya,Khatri-Master Traders,Polyester Sheet,polyester,11,150
INV-00953,2025-01-19,credit,Ethan Das,Khare-Sampath Retailers,Wool Fabric,wool,6,200
INV-00953,2025-01-19,credit,Ethan Das,Khare-Sampath Retailers,Yarn Roll,yarn,18,90
INV-00953,2025-01-19,credit,Ethan Das,Khare-Sampath Retailers,Polyester Sheet,polyester,3,150
INV-00954,2025-01-30,cash,Gopal Vaidya,Lad LLC Fabrics,Yarn Roll,yarn,19,90
INV-00954,2025-01-30,cash,Gopal Vaidya,Lad LLC Fabrics,Cotton Fabric,cotton,13,120
INV-00954,2025-01-30,cash,Gopal Vaidya,Lad LLC Fabrics,Yarn Roll,yarn,17,90
INV-00955,2024-05-22,cash,Irya Naik,Salvi LLC Fabrics,Silk Fabric,silk,23,350
INV-00955,2024-05-22,cash,Irya Naik,Salvi LLC Fabrics,Cotton Fabric,cotton,8,120
INV-00956,2025-09-24,cash,Vasana Bera,Narula-Arya Fabrics,Yarn Roll,yarn,9,90
INV-00956,2025-09-24,cash,Vasana Bera,Narula-Arya Fabrics,Wool Fabric,wool,19,200
INV-00956,2025-09-24,cash,Vasana Bera,Narula-Arya Fabrics,Silk Fabric,silk,22,350
INV-00957,2025-05-31,credit,Kashvi Vohra,Ramakrishnan-Sarraf Fabrics,Nylon Fabric,nylon,8,180
INV-00957,2025-05-31,credit,Kashvi Vohra,Ramakrishnan-Sarraf Fabrics,Polyester Sheet,polyester,12,150
INV-00957,2025-05-31,credit,Kashvi Vohra,Ramakrishnan-Sarraf Fabrics,Wool Fabric,wool,25,200
INV-00958,2026-09-18,credit,Gopal Vaidya,Sangha-Dada Textiles,Polyester Sheet,polyester,13,150
INV-00958,2026-09-18,credit,Gopal Vaidya,Sangha-Dada Textiles,Yarn Roll,yarn,21,90
INV-00958,2026-09-18,credit,Gopal Vaidya,Sangha-Dada Textiles,Nylon Fabric,nylon,25,180
INV-00958,2026-09-18,credit,Gopal Vaidya,Sangha-Dada Textiles,Nylon Fabric,nylon,19,180
INV-00959,2026-11-03,cash,Varenya Padmanabhan,Chacko-Kade Mart,Wool Fabric,wool,2,200
INV-00959,2026-11-03,cash,Varenya Padmanabhan,Chacko-Kade Mart,Yarn Roll,yarn,12,90
INV-00959,2026-11-03,cash,Varenya Padmanabhan,Chacko-Kade Mart,Cotton Fabric,cotton,1,120
INV-00959,2026-11-03,cash,Varenya Padmanabhan,Chacko-Kade Mart,Wool Fabric,wool,16,200
INV-00960,2026-04-24,credit,Lakshit Nath,Prasad-Chaudhari Distributors,Wool Fabric,wool,23,200
INV-00960,2026-04-24,credit,Lakshit Nath,Prasad-Chaudhari Distributors,Nylon Fabric,nylon,24,180
INV-00960,2026-04-24,credit,Lakshit Nath,Prasad-Chaudhari Distributors,Silk Fabric,silk,23,350
INV-00961,2024-06-13,credit,Christopher Sridhar,Peri-Mistry Stores,Silk Fabric,silk,18,350
INV-00961,2024-06-13,credit,Christopher Sridhar,Peri-Mistry Stores,Silk Fabric,silk,9,350
INV-00962,2024-09-27,credit,Bakhshi Kala,"Borah, Sachdeva and Shankar Enterprises",Nylon Fabric,nylon,23,180
INV-00962,2024-09-27,credit,Bakhshi Kala,"Borah, Sachdeva and Shankar Enterprises",Silk Fabric,silk,12,350
INV-00963,2026-06-01,cash,Ishwar Patla,Doctor-Agarwal Retailers,Yarn Roll,yarn,16,90
INV-00963,2026-06-01,cash,Ishwar Patla,Doctor-Agarwal Retailers,Wool Fabric,wool,14,200
INV-00963,2026-06-01,cash,Ishwar Patla,Doctor-Agarwal Retailers,Silk Fabric,silk,15,350
INV-00964,2026-08-14,cash,Varenya Padmanabhan,Sarna-Wason Fabrics,Silk Fabric,silk,18,350
INV-00964,2026-08-14,cash,Varenya Padmanabhan,Sarna-Wason Fabrics,Nylon Fabric,nylon,24,180
INV-00965,2026-05-04,credit,Ethan Das,Yohannan-Pant Retailers,Silk Fabric,silk,22,350
INV-00965,2026-05-04,credit,Ethan Das,Yohannan-Pant Retailers,Wool Fabric,wool,12,200
INV-00965,2026-05-04,credit,Ethan Das,Yohannan-Pant Retailers,Yarn Roll,yarn,22,90
INV-00966,2025-08-29,credit,Keya Rajagopal,Raju Ltd Traders,Nylon Fabric,nylon,5,180
INV-00966,2025-08-29,credit,Keya Rajagopal,Raju Ltd Traders,Wool Fabric,wool,25,200
INV-00966,2025-08-29,credit,Keya Rajagopal,Raju Ltd Traders,Polyester Sheet,polyester,6,150
INV-00966,2025-08-29,credit,Keya Rajagopal,Raju Ltd Traders,Cotton Fabric,cotton,18,120
INV-00967,2024-05-26,cash,Samarth Ratta,Srinivas Inc Traders,Cotton Fabric,cotton,7,120
INV-00967,2024-05-26,cash,Samarth Ratta,Srinivas Inc Traders,Wool Fabric,wool,5,200
